patient_id,timestamp,action
1,16.376357617942745,enter
1,16.376357617942745,exit
2,50.40175994109895,enter
2,50.40175994109895,exit
3,86.13532944675774,enter
3,86.13532944675774,exit
4,114.838602035319,enter
4,114.838602035319,exit
5,147.14132175117862,enter
5,147.14132175117862,exit
6,176.96875984226077,enter
6,176.96875984226077,exit
7,207.267933581939,enter
7,207.267933581939,exit
8,234.67226963508287,enter
8,235.92888289905721,exit
9,263.00135716606604,enter
9,263.0137537674438,exit
10,295.2718343511651,enter
10,295.2718343511651,exit
11,318.7701936500929,enter
11,322.79532799859203,exit
12,355.3693427015971,enter
12,355.3693427015971,exit
13,382.5419566915554,enter
13,382.5419566915554,exit
14,410.7098175966601,enter
14,410.7098175966601,exit
15,440.23692149802844,enter
15,440.23692149802844,exit
16,469.33603371477733,enter
16,469.33603371477733,exit
17,502.3079770017037,enter
17,502.3079770017037,exit
18,530.8390075881498,enter
18,530.8390075881498,exit
19,559.1098387410245,enter
19,559.1098387410245,exit
20,588.6746245549151,enter
20,588.6746245549151,exit
21,619.5692997636695,enter
21,619.5692997636695,exit
22,650.7361090099942,enter
22,650.7361090099942,exit
23,678.5374442755639,enter
23,678.8076319176567,exit
24,710.7365454075639,enter
24,710.7365454075639,exit
